"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 20364086, SEN S/N: 20364086, LBL: Aire_25m_Febrero_2021)"	"Acoplador separado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Acoplador adjunto (LGR S/N: 20364086, SEN S/N: 20364086)"	"Host conectado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Parado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Final de archivo (LGR S/N: 20364086, SEN S/N: 20364086)"
765	08/03/21	10:00:00	14.745					
766	08/03/21	11:00:00	14.792					
767	08/03/21	12:00:00	14.816					
768	08/03/21	13:00:00	14.385					
769	08/03/21	14:00:00	14.266					
770	08/03/21	15:00:00	14.170					
771	08/03/21	16:00:00	14.194					
772	08/03/21	17:00:00	14.194					
773	08/03/21	18:00:00	14.242					
774	08/03/21	19:00:00	14.266					
775	08/03/21	20:00:00	14.242					
776	08/03/21	21:00:00	14.266					
777	08/03/21	22:00:00	14.266					
778	08/03/21	23:00:00	14.361					
779	09/03/21	00:00:00	14.409					
780	09/03/21	01:00:00	14.505					
781	09/03/21	02:00:00	14.481					
782	09/03/21	03:00:00	14.409					
783	09/03/21	04:00:00	14.337					
784	09/03/21	05:00:00	14.314					
785	09/03/21	06:00:00	14.314					
786	09/03/21	07:00:00	14.577					
787	09/03/21	08:00:00	14.625					
788	09/03/21	09:00:00	14.673					
789	09/03/21	10:00:00	14.673					
790	09/03/21	11:00:00	14.697					
791	09/03/21	12:00:00	14.697					
792	09/03/21	13:00:00	14.721					
793	09/03/21	14:00:00	14.673					
794	09/03/21	15:00:00	14.529					
795	09/03/21	16:00:00	14.481					
796	09/03/21	17:00:00	14.481					
797	09/03/21	18:00:00	14.481					
798	09/03/21	19:00:00	14.505					
799	09/03/21	20:00:00	14.553					
800	09/03/21	21:00:00	14.553					
801	09/03/21	22:00:00	14.577					
802	09/03/21	23:00:00	14.577					
803	10/03/21	00:00:00	14.577					
804	10/03/21	01:00:00	14.553					
805	10/03/21	02:00:00	14.553					
806	10/03/21	03:00:00	14.553					
807	10/03/21	04:00:00	14.601					
808	10/03/21	05:00:00	14.601					
809	10/03/21	06:00:00	14.601					
810	10/03/21	07:00:00	14.098					
811	10/03/21	08:00:00	14.098					
812	10/03/21	09:00:00	14.146					
813	10/03/21	10:00:00	14.457					
814	10/03/21	11:00:00	14.529					
815	10/03/21	12:00:00	14.577					
816	10/03/21	13:00:00	14.529					
817	10/03/21	14:00:00	14.553					
818	10/03/21	15:00:00	14.577					
819	10/03/21	16:00:00	14.673					
820	10/03/21	17:00:00	14.673					
821	10/03/21	18:00:00	14.649					
822	10/03/21	19:00:00	14.505					
823	10/03/21	20:00:00	14.529					
824	10/03/21	21:00:00	14.553					
825	10/03/21	22:00:00	14.553					
826	10/03/21	23:00:00	14.601					
827	11/03/21	00:00:00	14.625					
828	11/03/21	01:00:00	14.218					
829	11/03/21	02:00:00	14.146					
830	11/03/21	03:00:00	14.146					
831	11/03/21	04:00:00	14.098					
832	11/03/21	05:00:00	14.098					
833	11/03/21	06:00:00	14.098					
834	11/03/21	07:00:00	14.074					
835	11/03/21	08:00:00	14.098					
836	11/03/21	09:00:00	14.122					
837	11/03/21	10:00:00	14.433					
838	11/03/21	11:00:00	14.577					
839	11/03/21	12:00:00	14.625					
840	11/03/21	13:00:00	14.649					
841	11/03/21	14:00:00	14.625					
842	11/03/21	15:00:00	14.457					
843	11/03/21	16:00:00	14.457					
844	11/03/21	17:00:00	14.601					
845	11/03/21	18:00:00	14.601					
846	11/03/21	19:00:00	14.816					
847	11/03/21	20:00:00	14.721					
848	11/03/21	21:00:00	14.385					
849	11/03/21	22:00:00	14.337					
850	11/03/21	23:00:00	14.314					
851	12/03/21	00:00:00	14.290					
852	12/03/21	01:00:00	14.290					
853	12/03/21	02:00:00	14.266					
854	12/03/21	03:00:00	14.218					
855	12/03/21	04:00:00	14.170					
856	12/03/21	05:00:00	14.122					
857	12/03/21	06:00:00	14.122					
858	12/03/21	07:00:00	14.122					
859	12/03/21	08:00:00	14.146					
860	12/03/21	09:00:00	14.242					
861	12/03/21	10:00:00	14.266					
862	12/03/21	11:00:00	14.314					
863	12/03/21	12:00:00	14.337					
864	12/03/21	13:00:00	14.361					
